unit_id,area_name,area_type,year,raw_rows_selected,taxon_rows_standardized,raw_filtered_tonnes,standardized_tonnes,difference_tonnes,reconciled,source_data_status
EEZ_798,Tuvalu,eez,2019,718,46,145109.28727910868,145109.28727910874,5.820766091346741e-11,True,available
EEZ_804,Ukraine,eez,2019,285,28,65903.7240236569,65903.7240236569,0.0,True,available
EEZ_826,United Kingdom (GBR),eez,2019,8867,346,1714264.7493178481,1714264.7493178481,0.0,True,available
EEZ_830,Channel Isl. (GBR),eez,2019,3294,263,13336.3851663309,13336.3851663309,0.0,True,available
EEZ_834,Tanzania,eez,2019,733,112,129515.2312113136,129515.2312113136,0.0,True,available
EEZ_842,Hawaii Main Isl. (USA),eez,2019,628,140,22486.186575207197,22486.186575207197,0.0,True,available
EEZ_844,Palmyra Atoll & Kingman Reef (USA),eez,2019,38,17,280.5961402573001,280.5961402573,-5.684341886080802e-14,True,available
EEZ_845,Jarvis Isl. (USA),eez,2019,38,17,3423.530859589999,3423.53085959,9.094947017729282e-13,True,available
EEZ_846,Howland & Baker Isl. (USA),eez,2019,62,18,4352.1546382121,4352.1546382121,0.0,True,available
EEZ_848,USA (West Coast),eez,2019,1746,185,480242.05511345965,480242.0551134597,5.820766091346741e-11,True,available
EEZ_850,US Virgin Isl. (USA),eez,2019,72,21,385.479066669,385.47906666899996,-5.684341886080802e-14,True,available
EEZ_851,USA (East Coast),eez,2019,9237,352,1002996.0875079746,1002996.0875079748,2.3283064365386963e-10,True,available
EEZ_852,USA (Gulf of Mexico),eez,2019,10280,375,1104194.026503118,1104194.026503118,0.0,True,available
EEZ_855,Ascension Isl. (GBR),eez,2019,10,10,32.764000003999996,32.764000004,7.105427357601002e-15,True,available
EEZ_856,Tristan da Cunha Isl. (GBR),eez,2019,20,9,733.0059081888,733.0059081887999,-1.1368683772161603e-13,True,available
EEZ_858,Uruguay,eez,2019,392,60,107838.99386809541,107838.9938680954,-1.4551915228366852e-11,True,available
EEZ_862,Venezuela,eez,2019,1057,153,306380.438267835,306380.43826783495,-5.820766091346741e-11,True,available
EEZ_872,Wake Isl. (USA),eez,2019,22,13,34.633787389199995,34.633787389199995,0.0,True,available
EEZ_876,Wallis & Futuna Isl. (France),eez,2019,284,71,971.0058082377,971.0058082377,0.0,True,available
EEZ_882,Samoa,eez,2019,588,72,13979.020508821599,13979.020508821599,0.0,True,available
EEZ_891,Montenegro,eez,2019,422,70,1698.0118630171,1698.0118630171,0.0,True,available
EEZ_895,St Paul & Amsterdam Isl. (France),eez,2019,10,3,497.3573467841,497.3573467841,0.0,True,available
EEZ_896,Crozet Isl. (France),eez,2019,17,7,962.1183434891,962.1183434890999,-1.1368683772161603e-13,True,available
EEZ_897,Kerguelen Isl. (France),eez,2019,16,6,5596.068903,5596.068903,0.0,True,available
EEZ_898,Clipperton Isl. (France),eez,2019,83,17,5821.5688911778,5821.568891177801,9.094947017729282e-13,True,available
EEZ_899,Corsica (France),eez,2019,1002,114,1565.0256591656998,1565.0256591657,2.2737367544323206e-13,True,available
EEZ_900,Crete (Greece),eez,2019,998,73,3619.1201016588,3619.1201016588,0.0,True,available
EEZ_901,Sicily (Italy),eez,2019,1731,152,39568.555548646895,39568.555548646895,0.0,True,available
EEZ_902,Sardinia (Italy),eez,2019,1128,145,15737.0913019012,15737.0913019012,0.0,True,available
EEZ_903,Balearic Isl. (Spain),eez,2019,2694,187,15335.986237662899,15335.986237662899,0.0,True,available
EEZ_904,St Barthélemy (France),eez,2019,147,29,526.035917713,526.035917713,0.0,True,available
EEZ_905,St Martin (France),eez,2019,181,29,547.916166265,547.916166265,0.0,True,available
EEZ_906,Curaçao (Netherlands),eez,2019,217,37,4837.7877946069,4837.7877946069,0.0,True,available
EEZ_907,Bonaire (Netherlands),eez,2019,180,39,400.2133530319,400.21335303190006,5.684341886080802e-14,True,available
EEZ_908,Saba and Sint Eustatius (Netherlands),eez,2019,75,21,496.3226371928,496.3226371927999,-1.1368683772161603e-13,True,available
EEZ_909,Sint Maarten (Netherlands),eez,2019,108,33,83.07335077539997,83.07335077540002,4.263256414560601e-14,True,available
EEZ_910,South Orkney Isl. (GBR),eez,2019,263,30,267149.7089344195,267149.70893441956,5.820766091346741e-11,True,available
EEZ_911,Musandam (Oman),eez,2019,341,40,22403.7445093578,22403.7445093578,0.0,True,available
EEZ_912,Russia (Kara Sea),eez,2019,5,5,747.53431635,747.53431635,0.0,True,available
EEZ_913,Russia (Laptev to Chukchi Sea),eez,2019,5,5,6727.8088462000005,6727.8088462000005,0.0,True,available
EEZ_914,Sweden (Baltic),eez,2019,4016,63,258009.4224445994,258009.4224445994,0.0,True,available
EEZ_915,Sweden (West Coast),eez,2019,3961,117,14482.0419879626,14482.0419879626,0.0,True,available
EEZ_916,Yemen (Red Sea),eez,2019,591,41,27521.2468767345,27521.2468767345,0.0,True,available
EEZ_917,Yemen (Arabian Sea),eez,2019,648,49,324367.1527000878,324367.1527000878,0.0,True,available
EEZ_918,France (Mediterranean),eez,2019,2913,159,49423.405775673295,49423.405775673295,0.0,True,available
EEZ_919,France (Atlantic Coast),eez,2019,8900,348,270826.2519812341,270826.25198123406,-5.820766091346741e-11,True,available
EEZ_920,Honduras (Pacific),eez,2019,112,25,6195.8538133156,6195.853813315601,9.094947017729282e-13,True,available
EEZ_921,Honduras (Caribbean),eez,2019,392,88,21241.895209552,21241.895209552,0.0,True,available
EEZ_922,Iran (Persian Gulf),eez,2019,4913,165,441683.3346972359,441683.3346972359,0.0,True,available
EEZ_923,Iran (Sea of Oman),eez,2019,3566,152,367466.8570909228,367466.85709092283,5.820766091346741e-11,True,available
EEZ_924,Canada (Arctic),eez,2019,37,16,1114.2683023097002,1114.2683023096997,-4.547473508864641e-13,True,available
EEZ_925,Canada (Pacific),eez,2019,166,26,198174.6028298108,198174.60282981078,-2.9103830456733704e-11,True,available
EEZ_926,Canada (East Coast),eez,2019,813,112,694924.7188260404,694924.7188260403,-1.1641532182693481e-10,True,available
EEZ_927,Colombia (Caribbean),eez,2019,660,89,20344.1120639465,20344.112063946497,-3.637978807091713e-12,True,available
