unit_id,sau_region_id,catch_csv,data_version,csv_bytes,empty_catch_csv,source_url
EEZ_622,622,SAU EEZ 622 v50-1.csv,50.1,5829795,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=622
EEZ_624,624,SAU EEZ 624 v50-1.csv,50.1,13858973,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=624
EEZ_626,626,SAU EEZ 626 v50-1.csv,50.1,2895717,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=626
EEZ_630,630,SAU EEZ 630 v50-1.csv,50.1,2856937,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=630
EEZ_634,634,SAU EEZ 634 v50-1.csv,50.1,4216948,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=634
EEZ_638,638,SAU EEZ 638 v50-1.csv,50.1,2127761,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=638
EEZ_642,642,SAU EEZ 642 v50-1.csv,50.1,2477606,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=642
EEZ_645,645,SAU EEZ 645 v50-1.csv,50.1,10790959,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=645
EEZ_647,647,SAU EEZ 647 v50-1.csv,50.1,7162726,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=647
EEZ_648,648,SAU EEZ 648 v50-1.csv,50.1,28710183,False,https://api.seaaroundus.org/api/v1/eez/tonnage/taxon/?format=csv&limit=10&sciname=false&region_id=648
