unit_id,region_name,region_type,year,total_catch_tonnes,matched_catch_tonnes,missing_tl_catch_tonnes,catch_tl_coverage_fraction,taxa_count,matched_taxa_count,ppr_species,ppr_commercial_correct,ppr_functional_correct,ppr_commercial_jensen,ppr_functional_jensen,fraction_type_ppr,rank_type_ppr,accumulated_fraction_type
EEZ_706,Somalia,EEZ,2019,139703.8091832829,139703.8091832829,0.0,1.0,121,121,166015194.26696122,166015194.26696122,166015194.26696122,128484904.46261014,148400965.22101557,0.0024986417551600606,71,0.9118534413351287
EEZ_794,Turkey (Black Sea),EEZ,2019,557210.7803783925,557210.7803783925,0.0,1.0,49,49,164051844.8986375,164051844.89863747,164051844.89863753,154964279.53989428,147071763.1699224,0.002469092009829087,72,0.9143225333449578
EEZ_962,"Spain (mainland, Med and Gulf of Cadiz)",EEZ,2019,200667.8299873407,200667.8299873407,0.0,1.0,375,375,161337945.08672658,161337945.0867266,161337945.08672658,126841222.70377925,139703638.27953878,0.0024282459690838205,73,0.9167507793140417
EEZ_036,Australia,EEZ,2019,228804.7535442354,228804.7535442354,0.0,1.0,529,529,159135782.88848543,159135782.88848546,159135782.88848546,107374397.92635019,113696362.2670475,0.002395101927994953,74,0.9191458812420366
EEZ_116,Cambodia,EEZ,2019,211746.984487642,211746.984487642,0.0,1.0,110,110,157736807.02534643,157736807.02534643,157736807.0253464,95406747.0645604,134067533.23490132,0.002374046388340678,75,0.9215199276303773
EEZ_218,Ecuador (mainland),EEZ,2019,227592.59662859532,227592.59662859532,0.0,1.0,82,82,156635027.49107185,156635027.49107182,156635027.49107182,115235123.32919997,134427165.56673172,0.002357463855871437,76,0.9238773914862487
EEZ_508,Mozambique,EEZ,2019,296238.55412247276,296238.55412247276,0.0,1.0,90,90,155171497.13322508,155171497.13322508,155171497.13322508,102164310.31060095,140954696.79113078,0.002335436727100441,77,0.9262128282133492
EEZ_012,Algeria,EEZ,2019,236644.15639922052,236644.15639922052,0.0,1.0,187,187,153457037.5384049,153457037.53840494,153457037.5384049,138879989.24559036,135346368.60032412,0.0023096329423922543,78,0.9285224611557414
EEZ_463,Malaysia (Sarawak),EEZ,2019,172418.003123827,172418.003123827,0.0,1.0,142,142,142871346.13405973,142871346.1340597,142871346.13405973,97811219.7385735,116816988.36898412,0.002150311076300871,79,0.9306727722320423
EEZ_184,Cook Islands,EEZ,2019,57850.209005275494,57850.209005275494,0.0,1.0,38,38,137382390.5661584,137382390.56615847,137382390.56615847,135375928.81434494,135482637.65419087,0.002067698556195499,80,0.9327404707882377
EEZ_384,Côte d'Ivoire,EEZ,2019,239562.63863203014,239562.63863203014,0.0,1.0,194,194,133414622.3409288,133414622.34092882,133414622.34092876,119396344.3349186,118271335.48023751,0.0020079809417558607,81,0.9347484517299937
EEZ_584,Marshall Isl.,EEZ,2019,56340.9448327468,56340.9448327468,0.0,1.0,69,69,133348178.67679022,133348178.67679021,133348178.67679021,129917071.8692781,131136867.28438196,0.002006980919352396,82,0.936755432649346
EEZ_144,Sri Lanka,EEZ,2019,312721.78206485976,312721.78206485976,0.0,1.0,79,79,124000252.48143452,124000252.48143452,124000252.48143451,93655505.52803203,108693151.46193188,0.0018662882627615133,83,0.9386217209121075
EEZ_462,Maldives,EEZ,2019,51028.4249362374,51028.4249362374,0.0,1.0,72,72,122606801.38745148,122606801.38745153,122606801.38745151,119365084.13676476,120239573.18308131,0.0018453158746462384,84,0.9404670367867538
EEZ_620,Portugal (mainland),EEZ,2019,208342.58846173977,208342.58846173977,0.0,1.0,254,254,114209964.99740621,114209964.99740623,114209964.9974062,91002480.39629517,100522142.76751196,0.0017189377674612025,85,0.9421859745542149
EEZ_266,Gabon,EEZ,2019,158907.53279788652,158907.53279788652,0.0,1.0,184,184,113127683.75920805,113127683.75920808,113127683.75920807,103957804.80366671,100969694.24424481,0.0017026486976291983,86,0.9438886232518442
EEZ_834,Tanzania,EEZ,2019,129515.23121131358,129515.23121131358,0.0,1.0,112,112,108837946.14807098,108837946.14807098,108837946.14807098,78818215.59635648,90208962.19375764,0.0016380852246218318,87,0.945526708476466
EEZ_723,Canary Isl. (Spain),EEZ,2019,92826.4650597252,92826.4650597252,0.0,1.0,174,174,101920689.58241549,101920689.58241552,101920689.58241552,82436966.40149522,92632535.1043963,0.001533975801611377,88,0.9470606842780774
EEZ_120,Cameroon,EEZ,2019,280509.9182943578,280509.9182943578,0.0,1.0,63,63,101123441.33925112,101123441.33925112,101123441.3392511,79121776.76546197,86478242.55571876,0.001521976672505187,89,0.9485826609505826
EEZ_430,Liberia,EEZ,2019,179043.09265420676,179043.09265420676,0.0,1.0,239,239,96290641.00214319,96290641.00214316,96290641.00214317,80575332.56567119,89268475.32954851,0.0014492397355641527,90,0.9500319006861467
