taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Caesio,Small Benthopelagics,1.000000,single,low,229.996,106.362581,735.919846,94.203452,274.118485,1003.748472,1056.007849,1032.775676,1426.864607,1426.864607,1426.864607,914.129060,345.870401,1426.864607,1426.864607,914.129060,914.129060,345.870401,345.870401,967.877402,1512.932250
Isurus,Sharks,1.000000,single,high,229.822,106.362581,2569.289220,222.822151,1308.685037,1955.186859,2007.418175,1423.259486,3930.042293,3930.042293,3930.042293,1585.345045,411.268522,3930.042293,3930.042293,1585.345045,1585.345045,411.268522,411.268522,1727.014600,4280.685883
Seriola dumerili,Large Benthopelagics,1.000000,single,low,211.432,106.362581,1254.298198,135.995167,530.875777,1013.570171,1067.730872,1046.376254,1918.226529,1918.226529,1918.226529,1111.682878,334.624507,1918.226529,1918.226529,1111.682878,1111.682878,334.624507,334.624507,1212.403984,2057.246559
Modiolus,Heterotrophic Benthos,1.000000,single,high,209.034,106.362581,19.947374,7.853921,13.270207,123.888042,123.888042,15.362117,260.720597,260.720597,260.720597,19.314018,17.703696,260.720597,260.720597,19.314018,19.314018,17.703696,17.703696,19.988906,287.807317
Miscellaneous aquatic invertebrates,Heterotrophic Benthos,1.000000,single,medium,190.36,106.362581,19.947374,7.853921,13.270207,123.888042,123.888042,15.362117,260.720597,260.720597,260.720597,19.314018,17.703696,260.720597,260.720597,19.314018,19.314018,17.703696,17.703696,19.988906,287.807317
Holothuria atra,Heterotrophic Benthos,1.000000,single,high,185.23,106.362581,19.947374,7.853921,13.270207,123.888042,123.888042,15.362117,260.720597,260.720597,260.720597,19.314018,17.703696,260.720597,260.720597,19.314018,19.314018,17.703696,17.703696,19.988906,287.807317
Gempylidae,Unresolved,,,unresolved,164.962,,,,,,,,,,,,,,,,,,,,
Macolor,Large Benthic Carnivores,1.000000,single,high,135.047,106.362581,1113.102078,125.259096,249.981248,421.749845,575.638232,564.125467,1114.691652,1114.691652,1114.691652,635.937656,217.238675,1114.691652,1114.691652,635.937656,635.937656,217.238675,217.238675,669.742152,1212.578059
Gerres oblongus,Small Benthic Carnivores,1.000000,single,medium,123.217,106.362581,47.875255,14.351766,47.936313,123.682770,123.682770,121.085432,160.705061,160.705061,160.705061,86.695750,48.551122,160.705061,160.705061,86.695750,86.695750,48.551122,48.551122,90.594542,174.303817
Zeidae,Med Benthic Carnivores,1.000000,single,medium,114.193,106.362581,153.506319,32.014124,100.687820,159.061371,159.061371,156.039205,198.208223,198.208223,198.208223,116.373231,56.490526,198.208223,198.208223,116.373231,116.373231,56.490526,56.490526,123.709202,211.870923
Holothuriidae,Heterotrophic Benthos,1.000000,single,high,111.64,106.362581,19.947374,7.853921,13.270207,123.888042,123.888042,15.362117,260.720597,260.720597,260.720597,19.314018,17.703696,260.720597,260.720597,19.314018,19.314018,17.703696,17.703696,19.988906,287.807317
Pomacentridae,Unresolved,,,unresolved,109.969,,,,,,,,,,,,,,,,,,,,
Platycaranx talamparoides,Small Benthopelagics,1.000000,single,low,107.42,106.362581,735.919846,94.203452,274.118485,1003.748472,1056.007849,1032.775676,1426.864607,1426.864607,1426.864607,914.129060,345.870401,1426.864607,1426.864607,914.129060,914.129060,345.870401,345.870401,967.877402,1512.932250
Tetrapturus angustirostris,Unresolved,,,unresolved,89.639,,,,,,,,,,,,,,,,,,,,
