cohort,year,functional_group,tl
eez,1964,Large reef assoc. fish (>=90 cm),3.810512820512821
eez,1964,Large sharks (>=90 cm),4.208844155844156
eez,1964,"Lobsters, crabs",3.1630337078651682
eez,1964,Medium bathydemersals (30 - 89 cm),3.8703703703703702
eez,1964,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1964,Medium benthopelagics (30 - 89 cm),3.672843137254902
eez,1964,Medium demersals (30 - 89 cm),3.6453982300884955
eez,1964,Medium pelagics (30 - 89 cm),3.5893877551020408
eez,1964,Medium reef assoc. fish (30 - 89 cm),3.4869635627530364
eez,1964,Other demersal invertebrates,2.1670064516129033
eez,1964,Shrimps,2.898235294117647
eez,1964,Small bathydemersals (<30 cm),3.5033333333333334
eez,1964,Small bathypelagics (<30 cm),3.495
eez,1964,Small benthopelagics (<30 cm),3.5044444444444443
eez,1964,Small demersals (<30 cm),3.4358064516129034
eez,1964,Small pelagics (<30 cm),3.2904424778761063
eez,1964,Small reef assoc. fish (<30 cm),3.2775862068965513
eez,1964,Small to medium flatfishes (<90 cm),3.624142857142857
eez,1964,Small to medium rays (<90 cm),3.7861904761904763
eez,1964,Small to medium sharks (<90 cm),3.9246666666666665
eez,1965,Cephalopods,3.8683783783783783
eez,1965,Jellyfish,3.2199999999999998
eez,1965,Large bathydemersals (>=90 cm),4.0981250000000005
eez,1965,Large bathypelagics (>=90 cm),3.9125
eez,1965,Large benthopelagics (>=90 cm),3.936326530612245
eez,1965,Large demersals (>=90 cm),3.9775316455696204
eez,1965,Large flatfishes (>=90 cm),4.02625
eez,1965,Large pelagics (>=90 cm),4.292753623188406
eez,1965,Large rays (>=90 cm),3.718260869565217
eez,1965,Large reef assoc. fish (>=90 cm),3.810512820512821
eez,1965,Large sharks (>=90 cm),4.208844155844156
eez,1965,"Lobsters, crabs",3.1621111111111113
eez,1965,Medium bathydemersals (30 - 89 cm),3.869655172413793
eez,1965,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1965,Medium benthopelagics (30 - 89 cm),3.672843137254902
eez,1965,Medium demersals (30 - 89 cm),3.6468722466960353
eez,1965,Medium pelagics (30 - 89 cm),3.5893877551020408
eez,1965,Medium reef assoc. fish (30 - 89 cm),3.4869635627530364
eez,1965,Other demersal invertebrates,2.156993377483444
eez,1965,Shrimps,2.916265060240964
eez,1965,Small bathydemersals (<30 cm),3.5033333333333334
eez,1965,Small bathypelagics (<30 cm),3.495
eez,1965,Small benthopelagics (<30 cm),3.5044444444444443
eez,1965,Small demersals (<30 cm),3.4358064516129034
eez,1965,Small pelagics (<30 cm),3.2949565217391306
eez,1965,Small reef assoc. fish (<30 cm),3.2775862068965513
eez,1965,Small to medium flatfishes (<90 cm),3.624142857142857
eez,1965,Small to medium rays (<90 cm),3.7861904761904763
eez,1965,Small to medium sharks (<90 cm),3.9246666666666665
eez,1966,Cephalopods,3.8619444444444446
eez,1966,Jellyfish,3.2199999999999998
eez,1966,Large bathydemersals (>=90 cm),4.0981250000000005
eez,1966,Large bathypelagics (>=90 cm),3.9125
eez,1966,Large benthopelagics (>=90 cm),3.936326530612245
eez,1966,Large demersals (>=90 cm),3.9775316455696204
eez,1966,Large flatfishes (>=90 cm),4.02625
eez,1966,Large pelagics (>=90 cm),4.292753623188406
eez,1966,Large rays (>=90 cm),3.718260869565217
eez,1966,Large reef assoc. fish (>=90 cm),3.810512820512821
eez,1966,Large sharks (>=90 cm),4.208844155844156
eez,1966,"Lobsters, crabs",3.1621111111111113
eez,1966,Medium bathydemersals (30 - 89 cm),3.869655172413793
eez,1966,Medium bathypelagics (30 - 89 cm),3.7990000000000004
eez,1966,Medium benthopelagics (30 - 89 cm),3.672843137254902
eez,1966,Medium demersals (30 - 89 cm),3.6417777777777776
eez,1966,Medium pelagics (30 - 89 cm),3.5893877551020408
eez,1966,Medium reef assoc. fish (30 - 89 cm),3.4869635627530364
eez,1966,Other demersal invertebrates,2.1566184210526314
eez,1966,Shrimps,2.912352941176471
eez,1966,Small bathydemersals (<30 cm),3.5033333333333334
eez,1966,Small bathypelagics (<30 cm),3.495
eez,1966,Small benthopelagics (<30 cm),3.5044444444444443
eez,1966,Small demersals (<30 cm),3.4358064516129034
eez,1966,Small pelagics (<30 cm),3.2964957264957264
