taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix,SPPR_1995_TEmean_catch,Ulanowicz_globalTEmean_catch
Chondrichthyes,Demersal sharks and rays | Pelagic sharks and rays,0.813468 | 0.186532,catch_composition,low,1707091.817,63.434269,418.405771,1233.714268,16384.867956,926.508706,948.439839,867.161249,1398.188480,1398.188480,1398.188480,127.296233,56.029869,1398.188480,1398.188480,127.296233,127.296233,56.029869,56.029869,131.360768,1538.722280,80.435712,173.213520
Thunnus albacares,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.899939 | 0.100061,model_catch,medium,1626326.169,63.434269,92.005775,206.984752,1189.772627,223.065849,230.564829,148.455132,255.179301,255.179301,255.179301,33.419239,18.716060,255.179301,255.179301,33.419239,33.419239,18.716060,18.716060,34.380036,269.191776,26.756147,45.652518
Stolephorus,Pelagic fish (≤ 30 cm),1.000000,single,medium,1518853.453,63.434269,60.479203,123.916392,184.333489,82.963782,82.963782,61.393198,82.861621,82.861621,82.861621,19.548829,12.624641,82.861621,82.861621,19.548829,19.548829,12.624641,12.624641,19.621964,85.282461,20.037581,23.973469
Scomberomorus commerson,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.899939 | 0.100061,model_catch,medium,1502865.98,63.434269,92.005775,206.984752,1189.772627,223.065849,230.564829,148.455132,255.179301,255.179301,255.179301,33.419239,18.716060,255.179301,255.179301,33.419239,33.419239,18.716060,18.716060,34.380036,269.191776,26.756147,45.652518
Rastrelliger kanagurta,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.899939 | 0.100061,model_catch,medium,1469580.931,63.434269,92.005775,206.984752,1189.772627,223.065849,230.564829,148.455132,255.179301,255.179301,255.179301,33.419239,18.716060,255.179301,255.179301,33.419239,33.419239,18.716060,18.716060,34.380036,269.191776,26.756147,45.652518
Rastrelliger,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.899939 | 0.100061,model_catch,medium,1441250.177,63.434269,92.005775,206.984752,1189.772627,223.065849,230.564829,148.455132,255.179301,255.179301,255.179301,33.419239,18.716060,255.179301,255.179301,33.419239,33.419239,18.716060,18.716060,34.380036,269.191776,26.756147,45.652518
Epinephelus,Adult groupers,1.000000,single,high,1384242.323,63.434269,536.399665,1609.730473,13598.164881,393.611873,402.744057,382.606854,573.177297,573.177297,573.177297,98.963478,43.907195,573.177297,573.177297,98.963478,98.963478,43.907195,43.907195,102.370282,627.352817,98.736259,191.555980
Mullidae,Juvenile demersal fish (> 30 cm) | Adult demersal fish (> 30 cm),0.899915 | 0.100085,model_catch,medium,1371662.314,63.434269,122.316169,286.728044,2340.575757,204.767879,206.522246,149.869278,252.256118,252.256118,252.256118,40.505014,22.148998,252.256118,252.256118,40.505014,40.505014,22.148998,22.148998,41.258511,269.055759,33.188270,55.556032
Decapterus macrosoma,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.899939 | 0.100061,model_catch,medium,1347860.293,63.434269,92.005775,206.984752,1189.772627,223.065849,230.564829,148.455132,255.179301,255.179301,255.179301,33.419239,18.716060,255.179301,255.179301,33.419239,33.419239,18.716060,18.716060,34.380036,269.191776,26.756147,45.652518
Katsuwonus pelamis,Juvenile large pelagic fish | Pelagic fish (> 30 cm),0.899939 | 0.100061,model_catch,medium,1285182.0,63.434269,92.005775,206.984752,1189.772627,223.065849,230.564829,148.455132,255.179301,255.179301,255.179301,33.419239,18.716060,255.179301,255.179301,33.419239,33.419239,18.716060,18.716060,34.380036,269.191776,26.756147,45.652518
