taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Salvelinus,Salmon,1.000000,single,high,70112.436,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,105.886534,808.068303
Paralithodes platypus,Crabs and shrimps,1.000000,single,high,68504.949,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.239894,187.577636
Pentaceros wheeleri,Unresolved,,,unresolved,67590.722,,,,,,,,,,,,,,,,,,,,
Limanda aspera,Pleuronectidae,1.000000,single,high,61014.086,0.000000,233.243340,51.411960,126.519418,324.117476,325.251045,325.251045,2211.992883,2211.992883,2248.486658,1061.044702,181.154642,2248.486658,2211.992883,1061.044702,1061.044702,181.154642,181.154642,2141.070009,2413.536959
Bathylagidae,Bathylagidae,1.000000,single,high,54063.278,0.000000,433.072664,80.403265,90.834756,595.980811,596.660103,82.339094,1635.350237,1635.350237,1661.441813,216.520696,75.945399,1661.441813,1635.350237,216.520696,216.520696,75.945399,75.945399,320.822433,1821.949147
Seriola,Unresolved,,,unresolved,51867.348,,,,,,,,,,,,,,,,,,,,
Thunnus alalunga,Unresolved,,,unresolved,44138.992,,,,,,,,,,,,,,,,,,,,
Loliginidae,Squids,1.000000,single,high,43261.709,0.000000,957.310082,142.631647,119.679026,66.859093,71.954070,34.034275,245.671067,245.671067,249.518872,112.246832,37.014939,249.518872,245.671067,112.246832,112.246832,37.014939,37.014939,170.688724,257.667318
Hippoglossoides elassodon,Pleuronectidae,1.000000,single,high,38210.958,0.000000,233.243340,51.411960,126.519418,324.117476,325.251045,325.251045,2211.992883,2211.992883,2248.486658,1061.044702,181.154642,2248.486658,2211.992883,1061.044702,1061.044702,181.154642,181.154642,2141.070009,2413.536959
Gadidae,Other Gadidae,1.000000,single,high,37945.049,0.000000,707.656366,114.652683,277.542915,7317.526805,9118.647223,3191.526528,-469569.202248,-469569.202248,-477319.412817,17690.132028,1835.974421,-477319.412817,-469569.202248,17690.132028,17690.132028,1835.974421,1835.974421,45014.364407,553523.084381
Gastropoda,Unresolved,,,unresolved,36062.372,,,,,,,,,,,,,,,,,,,,
Berryteuthis magister,Squids,1.000000,single,high,32710.65,0.000000,957.310082,142.631647,119.679026,66.859093,71.954070,34.034275,245.671067,245.671067,249.518872,112.246832,37.014939,249.518872,245.671067,112.246832,112.246832,37.014939,37.014939,170.688724,257.667318
Lutjanidae,Unresolved,,,unresolved,29831.411,,,,,,,,,,,,,,,,,,,,
Clupeidae,Unresolved,,,unresolved,27777.798,,,,,,,,,,,,,,,,,,,,
Holothuroidea,2nd level benthos,1.000000,single,medium,27769.803,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,2.983493,4.120985
Dendrobranchiata,Crabs and shrimps,1.000000,single,high,26930.721,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.239894,187.577636
Pandalus,Crabs and shrimps,1.000000,single,high,21986.6,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.239894,187.577636
Tetraodontidae,Unresolved,,,unresolved,21764.075,,,,,,,,,,,,,,,,,,,,
Muraenesox cinereus,Unresolved,,,unresolved,21403.087,,,,,,,,,,,,,,,,,,,,
Paralichthys olivaceus,Unresolved,,,unresolved,21142.497,,,,,,,,,,,,,,,,,,,,
Salvelinus malma,Salmon,1.000000,single,high,20766.736,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,105.886534,808.068303
Mactridae,2nd level benthos,1.000000,single,medium,20332.194,0.000000,10.000000,5.280025,5.280025,4.253960,4.253960,2.190789,4.011903,4.011903,4.101044,2.575732,2.017588,4.101044,4.011903,2.575732,2.575732,2.017588,2.017588,2.983493,4.120985
Cyprinidae,Unresolved,,,unresolved,19289.495,,,,,,,,,,,,,,,,,,,,
