eez_unit_id,eez_name,lme_unit_id,lme_name,eez_area_km2,lme_area_km2,intersection_km2,intersection_fraction_of_eez,intersection_fraction_of_lme,eez_to_lme_area_ratio,lme_mostly_contained,flag_prefer_eez_candidate,flag_review_110_120
EEZ_266,Gabon,LME_028,Guinea Current,200070.47822587713,1918690.5432233866,196046.95356566543,0.9798894634736206,0.10217747424569464,0.10427449018941852,False,False,False
EEZ_268,Georgia,LME_062,Black Sea,22850.06585155267,462205.2642152028,22624.717493003325,0.990137955837268,0.04894950197380109,0.04943705236752491,False,False,False
EEZ_270,Gambia,LME_027,Canary Current,22854.919108268692,1123299.8683993171,22654.05603769782,0.9912113856269043,0.02016741626612977,0.02034623144827441,False,False,False
EEZ_274,Gaza Strip,LME_026,Mediterranean Sea,2336.6988125930247,2527801.206996367,2327.714319858605,0.9961550488723664,0.0009208454816051326,0.0009243997534796586,False,False,False
EEZ_277,Germany (North Sea),LME_022,North Sea,41220.36710931834,696532.8905595425,41055.378198530474,0.9959973934644905,0.05894248319781375,0.05917935487038519,False,False,False
EEZ_278,Germany (Baltic Sea),LME_023,Baltic Sea,15527.898722394531,396444.90371621336,15251.1180334079,0.9821752644105377,0.03846970383638754,0.039167860595100114,False,False,False
EEZ_288,Ghana,LME_028,Guinea Current,225676.86432471164,1918690.5432233866,206072.43047817194,0.9131305111616042,0.10740264041327462,0.11762025154174997,False,False,False
EEZ_300,Greece (without Crete),LME_026,Mediterranean Sea,387855.22647616203,2527801.206996367,386666.84271458525,0.9969360119950587,0.15296568481903608,0.15343581030132783,False,False,False
EEZ_304,Greenland (Denmark),LME_018,Canadian Eastern Arctic -West Greenland,2279905.916216645,1384957.584081398,574309.7599373661,0.2519006402204507,0.41467678616185855,1.6461918707271024,False,False,False
EEZ_304,Greenland (Denmark),LME_019,Greenland Sea,2279905.916216645,1208537.6311131367,799299.9368410778,0.3505846145473686,0.6613777810996865,1.8864997311806608,False,False,False
EEZ_304,Greenland (Denmark),LME_020,Barents Sea,2279905.916216645,2001350.9660391603,6147.326677317846,0.0026963071737271214,0.003071588532761905,1.139183459025564,False,False,False
EEZ_304,Greenland (Denmark),LME_059,Iceland Shelf and Sea,2279905.916216645,480787.1636455053,28556.819516340984,0.012525437700398252,0.05939596910161382,4.742027426293079,False,False,False
EEZ_304,Greenland (Denmark),LME_064,Central Arctic Ocean,2279905.916216645,3337137.3298031692,219548.88103162273,0.09629734256576244,0.06578958530441184,0.6831921167448983,False,False,False
EEZ_304,Greenland (Denmark),LME_066,Canadian High Arctic - North Greenland,2279905.916216645,599987.2092506643,130000.97167857991,0.057020322967672295,0.21667290514566243,3.799924200157639,False,False,False
EEZ_308,Grenada,LME_012,Caribbean Sea,25686.23111047267,3262576.84767364,25641.31259630884,0.9982512609977446,0.007859221037074487,0.007872988839722832,False,False,False
EEZ_312,Guadeloupe  (France),LME_012,Caribbean Sea,90549.31835227297,3262576.84767364,17904.528788659834,0.19773234204816512,0.005487848907352649,0.0277539265984918,False,False,False
EEZ_324,Guinea,LME_028,Guinea Current,101986.56743171386,1918690.5432233866,101457.45133847129,0.9948119040912241,0.05287848616172543,0.053154255537413105,False,False,False
EEZ_328,Guyana,LME_017,North Brazil Shelf,138655.59958907196,1054826.778598855,138133.96332562107,0.9962378997675041,0.1309541681422867,0.13144869129436648,False,False,False
EEZ_332,Haiti,LME_012,Caribbean Sea,117475.29404810692,3262576.84767364,117095.21354853609,0.9967645920561374,0.03589040780205073,0.03600690482796503,False,False,False
EEZ_344,Hong Kong (China),LME_036,South China Sea,2062.218966103303,3164824.0447257855,1907.387235383704,0.9249198396171461,0.0006026835010187647,0.0006516061989417749,False,False,False
EEZ_352,Iceland,LME_019,Greenland Sea,795723.2675435634,1208537.6311131367,42636.14235435948,0.053581620763685014,0.03527911854518671,0.658418279297314,False,False,False
EEZ_352,Iceland,LME_021,Norwegian Sea,795723.2675435634,1060118.1873210357,38813.97630221599,0.04877823470216804,0.03661287653247473,0.7505986380201536,False,False,False
EEZ_352,Iceland,LME_059,Iceland Shelf and Sea,795723.2675435634,480787.1636455053,407951.59323717694,0.5126802368071295,0.8485076642727684,1.6550426627659869,False,False,False
EEZ_356,India (mainland),LME_032,Arabian Sea,1655050.8316858804,3931902.1047515674,1049649.1390617448,0.6342096079263881,0.2669570887315023,0.4209287992409091,False,False,False
EEZ_356,India (mainland),LME_034,Bay of Bengal,1655050.8316858804,3664559.241537097,582197.7289305372,0.35177030081758554,0.15887251114170411,0.45163707900425987,False,False,False
EEZ_357,Andaman & Nicobar Isl. (India),LME_034,Bay of Bengal,660062.0566406576,3664559.241537097,659199.2647798238,0.9986928625086785,0.17988500699017848,0.18012044918225828,False,False,False
EEZ_361,Indonesia (Eastern),LME_037,Sulu-Celebes Sea,3605063.517602203,1013858.8714074758,333512.49845666735,0.09251223919585554,0.32895357318684126,3.555784359412393,False,False,False
EEZ_361,Indonesia (Eastern),LME_038,Indonesian Sea,3605063.517602203,2267460.478990507,1772582.8406489762,0.49169254078162683,0.7817480644417429,1.5899123936251398,False,False,False
EEZ_361,Indonesia (Eastern),LME_039,North Australian Shelf,3605063.517602203,779233.7571536872,432.296619959743,0.0001199137318521566,0.000554771422555917,4.626421127814643,False,False,False
EEZ_361,Indonesia (Eastern),LME_045,Northwest Australian Shelf,3605063.517602203,910842.4768383015,63100.443608046975,0.017503282064227344,0.0692770102543746,3.9579440015973217,False,False,False
EEZ_368,Iraq,LME_032,Arabian Sea,1139.5025804027696,3931902.1047515674,1130.017865152761,0.9916764424994491,0.0002873972533006795,0.0002898094993325801,False,False,False
EEZ_372,Ireland,LME_024,Celtic-Biscay Shelf,427981.0954464815,762660.9802682624,291366.7216076104,0.6807934385598241,0.38203963379000133,0.5611682077873462,False,False,False
EEZ_380,Italy (mainland),LME_026,Mediterranean Sea,313880.6871942103,2527801.206996367,312911.51465259824,0.9969122899842118,0.12378802327751558,0.12417142864140639,False,False,False
EEZ_384,Côte d'Ivoire,LME_028,Guinea Current,170058.23435710688,1918690.5432233866,168592.29301724624,0.9913797685516228,0.08786841297190759,0.08863244516304868,False,False,False
EEZ_388,Jamaica,LME_012,Caribbean Sea,286012.3556760835,3262576.84767364,285786.0072552433,0.9992086061446362,0.08759518031246413,0.08766455750460646,False,False,False
EEZ_390,Japan (main islands),LME_047,East China Sea,2583959.1756775146,779660.4335896934,386577.16576726316,0.14960652993517304,0.495827605342744,3.3142109876994956,False,False,False
EEZ_390,Japan (main islands),LME_049,Kuroshio Current,2583959.1756775146,1320719.814467396,1101368.463809616,0.42623291969031857,0.8339153026592265,1.9564779352686117,False,False,False
EEZ_390,Japan (main islands),LME_050,Sea of Japan / East Sea,2583959.1756775146,988300.3380015396,492302.32308343926,0.19052248492058993,0.4981302789786887,2.6145485095174474,False,False,False
EEZ_390,Japan (main islands),LME_051,Oyashio Current,2583959.1756775146,534330.3467746209,200093.57419135806,0.0774368171427838,0.37447540720676487,4.835883253262839,False,False,False
EEZ_390,Japan (main islands),LME_052,Sea of Okhotsk,2583959.1756775146,1563892.65463195,96033.93952644135,0.037165424450353875,0.061406989310939755,1.652261213724819,False,False,False
EEZ_393,Japan (Daito Islands),LME_049,Kuroshio Current,792374.5938506415,1320719.814467396,124632.03750151751,0.15728929027854469,0.09436675071902183,0.5999566184824605,False,False,False
EEZ_400,Jordan,LME_033,Red Sea,100.52526667076052,460970.08083065716,90.72956237777626,0.902554804205921,0.0001968231044719513,0.00021807329987581051,False,False,False
EEZ_404,Kenya,LME_031,Somali Coastal Current,162847.01515204387,840641.0911217374,152063.6119930169,0.9337820030108693,0.18089005355437215,0.19371764819959436,False,False,False
EEZ_410,Korea (South),LME_047,East China Sea,453741.2637617713,779660.4335896934,170282.9151302665,0.37528637734757686,0.21840651108361894,0.5819729259219516,False,False,False
EEZ_410,Korea (South),LME_048,Yellow Sea,453741.2637617713,440467.2676753383,133323.33505592472,0.29383118905827293,0.3026861354751003,1.0301361691561994,False,False,False
EEZ_410,Korea (South),LME_050,Sea of Japan / East Sea,453741.2637617713,988300.3380015396,149079.20175102304,0.3285555307777659,0.1508440258681676,0.4591127274926263,False,False,False
