unit_id,eez_unit_id,eez_name,sau_region_id,area_km2,lme_union_intersection_km2,lme_overlap_fraction_of_eez,hs_union_intersection_km2,hs_overlap_fraction_of_eez,uncovered_by_lme_or_hs_km2,geometry_repaired,flag_add_low_lme_overlap,flag_prefer_eez_candidate,flag_review_110_120,prefer_eez_lme_ids,review_110_120_lme_ids,mostly_contained_lme_ids,mostly_contained_lme_count,max_lme_containment_fraction,max_eez_to_lme_area_ratio,max_eez_to_mostly_contained_lme_area_ratio
EEZ_480,EEZ_480,Mauritius,480,2184133.9019781486,0.0,0.0,1347.0574601907153,0.0006167467383619194,2182786.845847109,False,True,False,False,,,,0,0.0,0.0,0.0
EEZ_488,EEZ_488,Hawaii Northwest Islands (USA),488,1575391.8710068562,654839.9117833031,0.41566795146961455,302.0295919617518,0.00019171711973397466,920249.9301397122,False,False,False,False,,,,0,0.6678548827246773,1.606702851070051,0.0
EEZ_500,EEZ_500,Montserrat (UK),500,7188.4596357846785,7168.153292627734,0.9971751468067153,0.0,0.0,20.30617563022283,False,False,False,False,,,,0,0.0021970833568989924,0.0022033073767780717,0.0
EEZ_508,EEZ_508,Mozambique,508,566413.8347150033,564742.289339204,0.9970488973373323,77.29374988930635,0.00013646162073035781,1671.5423489008945,True,False,False,False,,,,0,0.2149887012299904,0.21562503283853804,0.0
EEZ_512,EEZ_512,Oman,512,547384.9956572816,546536.2876581472,0.9984495227200824,8.399390778923522,1.5344576204245085e-05,848.7092342602564,False,False,False,False,,,,0,0.13900048197987355,0.1392163337423345,0.0
EEZ_516,EEZ_516,Namibia,516,560103.1998429117,557313.8321717926,0.9950199040607135,23.65112742419365,4.2226374408907e-05,2789.3640364653174,True,False,False,False,,,,0,0.38220438414985164,0.3841173252816966,0.0
EEZ_520,EEZ_520,Nauru,520,307581.0179795556,0.0,0.0,300.8893058600617,0.0009782440666740407,307280.12897166866,False,True,False,False,,,,0,0.0,0.0,0.0
EEZ_528,EEZ_528,Netherlands,528,61829.80129591206,61664.944586457976,0.9973337014514232,0.0,0.0,164.85632553814517,False,False,False,False,,,,0,0.08853127457760246,0.08876795645104801,0.0
EEZ_540,EEZ_540,New Caledonia (France),540,1364197.552630788,6620.171973271782,0.0048527956676839845,155.42153052354234,0.0001139289029098605,1357421.959744687,True,True,False,False,,,,0,0.0036689887674802497,2.0924727970494787,0.0
EEZ_548,EEZ_548,Vanuatu,548,812272.3024955937,0.0,0.0,0.0,0.0,812272.302495592,True,True,False,False,,,,0,0.0,0.0,0.0
EEZ_554,EEZ_554,New Zealand,554,3473197.167140932,866218.9936120085,0.2494010423039309,775211.3427037826,0.22319819618588527,1831771.5985090788,True,False,False,False,,,,0,0.8945975434467449,3.58698398043,0.0
