unit_id,legacy_headline_median_tC_yr,legacy_scaled_median_tC_yr,annual_median_tC_yr,antoinemorel_relative_difference_vs_scaled,vgpm_relative_difference_vs_scaled,eppley_relative_difference_vs_scaled,cbpm_relative_difference_vs_scaled,cafe_relative_difference_vs_scaled,median_relative_difference_vs_scaled,median_percent_change_vs_legacy_headline,note
HS_061,1157072180.8456333,1160605181.9233367,1160605181.9233365,-5.957356313243177e-16,-2.0542608530013538e-16,-3.9139232050441557e-16,0.0,-1.8472078531427267e-16,-2.0542608530013538e-16,0.30533973041519946,
HS_067,750103524.231196,753205089.3034091,753205089.3034079,-6.643063956920271e-16,-1.071099485899586e-15,-9.960831575766223e-16,-7.431025250279662e-16,-1.5826936281196698e-15,-1.5826936281196698e-15,0.4134849353481851,
HS_071,442529324.4876352,444799401.24316883,444799401.24316895,2.177028405550708e-16,1.1674387533629302e-16,2.680068570632143e-16,3.1670099572582887e-16,1.6246244112020532e-16,2.680068570632143e-16,0.5129777011189107,
HS_077,4356079610.435529,4356077734.723515,4356077734.723515,0.0,0.0,0.0,-2.1800536911882323e-16,0.0,0.0,-4.305963576811678e-05,
HS_081,2408472542.8165007,2424665979.2587404,2424665979.25874,-7.616840806081187e-16,-1.9666096785376674e-16,-1.5513003959792742e-16,3.8562294094230067e-16,-8.271097502056178e-16,-1.9666096785376674e-16,0.6723529604079514,
HS_087,2808945314.5543694,2814480512.5853744,2814480512.5853763,1.6991216410337445e-16,6.776911846728029e-16,5.872999687273891e-16,3.0257764920274375e-16,3.478129006884095e-16,6.776911846728029e-16,0.1970560979712488,
HS_088,371002744.10193366,467587768.4362068,467587768.43620694,2.549452693116052e-16,1.634051371971595e-16,3.672285869051515e-16,4.54116305332792e-16,3.1406970754637674e-16,2.549452693116052e-16,26.033506724612355,
LME_001,204509953.77214155,215854568.4102977,215854568.41029748,-9.664667199321356e-16,-8.768156698825696e-16,1.5620852428638873e-16,-1.5268485721198387e-15,-7.20139925471798e-16,-9.664667199321356e-16,5.547218816936295,
LME_002,219993119.70081398,265855268.36676815,265855268.3667683,5.604989995267025e-16,1.3400803302760514e-15,1.0171528627241083e-15,7.947350134889718e-16,3.4939528163539285e-16,5.604989995267025e-16,20.847083185295023,
LME_003,355338325.30191064,375579942.3590312,375579942.359031,-4.761008620509261e-16,-6.29021478680663e-16,-5.5909031441038e-16,-2.189699602978438e-16,-3.4216822641382267e-16,-4.761008620509261e-16,5.696435091802221,
LME_004,82403701.41240296,101064972.43669356,101064972.43669361,4.4232420495186833e-16,6.646207424185325e-16,9.536413497108553e-16,1.3746111344320772e-16,7.280774983196571e-16,4.4232420495186833e-16,22.646156306616906,
LME_005,429974890.9755587,489575816.2454212,489575816.2454212,0.0,0.0,3.798146441250251e-16,0.0,2.2030043996446746e-16,0.0,13.861489710395759,
LME_006,71789606.44541201,84469091.1326702,84469091.13267015,-5.292288928660316e-16,-7.443676993477604e-16,-5.610704464333689e-16,-7.496066638025711e-16,-5.610446826182733e-16,-5.292288928660316e-16,17.662006124660223,
LME_007,113589799.85592501,148365672.37021258,148365672.37021253,-4.017414798394933e-16,-8.435591077251316e-16,-1.0349376757060284e-15,-3.446801962324011e-16,-7.578292076971535e-16,-4.017414798394933e-16,30.615312781954486,
LME_008,73963040.54786614,88384461.77432844,88384461.77432857,1.5173532547729078e-15,1.1894907084779548e-15,1.7749014918455709e-15,5.722279224587683e-16,6.981001801216816e-16,1.5173532547729078e-15,19.49814545161841,
LME_009,136221125.41167906,161592979.84871426,161592979.84871423,-1.8442832365364316e-16,-4.805744957210097e-16,-4.4130556932589383e-16,2.5211718380501403e-16,-2.0897445944498163e-16,-1.8442832365364316e-16,18.625491721902844,
LME_010,105878479.572701,106878082.28198951,106878082.2819895,-1.3942204870903372e-16,-2.0300398655576184e-16,-1.717719231591696e-16,0.0,2.150517434720596e-16,-1.3942204870903372e-16,0.9441037624667858,
LME_011,498298207.3905572,537106323.0543703,537106323.0543703,0.0,1.5836547156392668e-16,0.0,0.0,0.0,0.0,7.788130699293472,
LME_012,677421862.5201514,784221591.4402995,784221591.4402994,-1.5200970089568912e-16,-3.5826561701498904e-16,-1.3441677120821797e-16,-1.480801220509014e-16,0.0,-1.5200970089568912e-16,15.765615907763975,
