printed_name,accepted_name,group_name,source_page
Pseudotolithus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Pectinidae,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Pectinidae,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Pectinidae,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Pseudotriakis microdon,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 40"
Pellona,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Pellona,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Pellona,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Rachycentron canadum,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 40"
Rachycentron canadum,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 40"
Rachycentron canadum,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 40"
Pellona ditchela,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Pellona ditchela,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Pellona ditchela,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Rajiformes,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 40"
Rajiformes,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 40"
Penaeidae,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Penaeidae,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Rastrelliger,,2-3 Indian mackerel,"Guenette (2013) Appendix A1.1, p. 40"
Penaeus,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Penaeus,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Rastrelliger brachysoma,,2-3 Indian mackerel,"Guenette (2013) Appendix A1.1, p. 40"
Penaeus monodon,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Penaeus monodon,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Rastrelliger kanagurta,,2-3 Indian mackerel,"Guenette (2013) Appendix A1.1, p. 40"
Penaeus semisulcatus,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Penaeus semisulcatus,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Rhincodon typus,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 40"
Pennahia,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Pennahia,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Pennahia,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Rhinobatidae,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 40"
Pennahia argentata,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Pennahia argentata,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Pennahia argentata,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Rhizostomatidae,,Jellyfish,"Guenette (2013) Appendix A1.1, p. 40"
Rhopilema,,Jellyfish,"Guenette (2013) Appendix A1.1, p. 40"
Perna viridis,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Perna viridis,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Perna viridis,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Rhynchobatus djiddensis,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 40"
Pinctada margaritifera,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Pinctada margaritifera,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Pinctada margaritifera,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Saccostrea cuccullata,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Saccostrea cuccullata,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Saccostrea cuccullata,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 40"
Platycephalidae,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 40"
Platycephalidae,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 40"
Platycephalidae,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Platycephalus indicus,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 40"
Platycephalus indicus,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 40"
Platycephalus indicus,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella fimbriata,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella fimbriata,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella fimbriata,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Plectorhinchus,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Plectorhinchus,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Plectorhinchus,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella gibbosa,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella gibbosa,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella gibbosa,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Plectropomus areolatus,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Plectropomus areolatus,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Plectropomus areolatus,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella lemuru,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella lemuru,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella lemuru,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Saurida,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Saurida,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Saurida,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella longiceps,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella longiceps,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Sardinella longiceps,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 40"
Saurida tumbil,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Saurida tumbil,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Saurida tumbil,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Selachimorpha,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 40"
Selachimorpha,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 40"
Scarus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Scarus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Scarus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Selachimorpha (Pleurotremata),,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 40"
Selachimorpha (Pleurotremata),,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 40"
Scatophagus argus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Scatophagus argus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Scatophagus argus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Selar boops,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Selar boops,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Selar boops,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Sciaenidae,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Sciaenidae,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Sciaenidae,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 40"
Selar crumenophthalmus,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Selar crumenophthalmus,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Selar crumenophthalmus,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Scolopsis,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Scolopsis,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Scolopsis,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 40"
Selaroides leptolepis,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Selaroides leptolepis,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Selaroides leptolepis,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 40"
Scomber,,2-3 Indian mackerel,"Guenette (2013) Appendix A1.1, p. 40"
Sepia,,Cephalopods,"Guenette (2013) Appendix A1.1, p. 40"
Scomberoides,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Scomberoides,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Scomberoides,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Sepiidae,,Cephalopods,"Guenette (2013) Appendix A1.1, p. 40"
Scomberoides commersonnianus,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Scomberoides commersonnianus,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Scomberoides commersonnianus,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Sepioteuthis lessoniana,,Cephalopods,"Guenette (2013) Appendix A1.1, p. 40"
Scomberoides lysan,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Scomberoides lysan,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Scomberoides lysan,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Sergestidae,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Sergestidae,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 40"
Scomberomorini,,Coastal scombrids,"Guenette (2013) Appendix A1.1, p. 40"
Seriola rivoliana,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Seriola rivoliana,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Seriola rivoliana,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 40"
Serranidae,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 41"
Serranidae,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 41"
Serranidae,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 41"
Seriolina nigrofasciata,,1 Carangids,"Guenette (2013) Appendix A1.1, p. 41"
Seriolina nigrofasciata,,2 Carangids,"Guenette (2013) Appendix A1.1, p. 41"
Seriolina nigrofasciata,,3 Carangids,"Guenette (2013) Appendix A1.1, p. 41"
Sharks or rays and chimaeras,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 41"
Sharks or rays and chimaeras,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 41"
Thenus orientalis,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 41"
Thenus orientalis,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 41"
Shrimps and prawns,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 41"
Shrimps and prawns,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 41"
Thryssa,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Thryssa,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Thryssa,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Shrimps and prawns,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 41"
Shrimps and prawns,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 41"
Thunnini,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 41"
Thunnini,,Coastal scombrids,"Guenette (2013) Appendix A1.1, p. 41"
Siganidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Siganidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Siganidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Thunnus,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 41"
Siganus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Siganus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Siganus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Thunnus alalunga,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 41"
Siganus canaliculatus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Siganus canaliculatus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Siganus canaliculatus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Thunnus albacares,,Yellowfin tuna,"Guenette (2013) Appendix A1.1, p. 41"
Sillaginidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Sillaginidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Sillaginidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Thunnus maccoyii,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 41"
Sillago,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Sillago,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Sillago,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Thunnus obesus,,Bigeye tuna,"Guenette (2013) Appendix A1.1, p. 41"
Sillago sihama,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Sillago sihama,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Sillago sihama,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Thunnus tonggol,,Coastal scombrids,"Guenette (2013) Appendix A1.1, p. 41"
Siluriformes,,2 Milkfish plus,"Guenette (2013) Appendix A1.1, p. 41"
Siluriformes,,3 Milkfish plus,"Guenette (2013) Appendix A1.1, p. 41"
Siluriformes,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Siluriformes,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Siluriformes,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Siluriformes,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Siluriformes,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Siluriformes,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Trachipterus,,ML bathy,"Guenette (2013) Appendix A1.1, p. 41"
Soleidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Soleidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Soleidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Soleidae,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Soleidae,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Soleidae,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Triacanthidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Triacanthidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Triacanthidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Solenocera crassicornis,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 41"
Solenocera crassicornis,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 41"
Triaenodon obesus,,Coastal elasmobranch,"Guenette (2013) Appendix A1.1, p. 41"
Sparidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Sparidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Sparidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Trichiuridae,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Trichiuridae,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Trichiuridae,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Sphyraena,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Sphyraena,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Sphyraena,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Trichiurus,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Trichiurus,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Trichiurus,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Sphyraena jello,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Sphyraena jello,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Sphyraena jello,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Trichiurus lepturus,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Trichiurus lepturus,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Trichiurus lepturus,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Sphyraenidae,,1 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Sphyraenidae,,2 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Sphyraenidae,,3 L pisc,"Guenette (2013) Appendix A1.1, p. 41"
Tridacna,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Tridacna,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Tridacna,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Sphyrna,Sphyrna,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 41"
Trochus,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Trochus,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Trochus,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Sphyrna lewini,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 41"
Trochus niloticus,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Trochus niloticus,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Trochus niloticus,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Sphyrna mokarran,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 41"
Turbo,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Turbo,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Turbo,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Sphyrna,Sphyrna,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 41"
Upeneus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Upeneus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Upeneus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Sphyrna zygaena,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 41"
Upeneus sulphureus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Upeneus sulphureus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Upeneus sulphureus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Sphyrnidae,,Oceanic sharks,"Guenette (2013) Appendix A1.1, p. 41"
Upeneus vittatus,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Upeneus vittatus,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Upeneus vittatus,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Spratelloides delicatulus,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Spratelloides delicatulus,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Spratelloides delicatulus,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Uranoscopus,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Uranoscopus,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Uranoscopus,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Spratelloides gracilis,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Spratelloides gracilis,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Spratelloides gracilis,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Variola louti,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 41"
Variola louti,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 41"
Variola louti,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 41"
Squillidae,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 41"
Squillidae,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 41"
Veneridae,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Veneridae,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Veneridae,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Stichopus,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Stichopus,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Stichopus,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Xiphias gladius,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 41"
Stolephorus,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Stolephorus,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Stolephorus,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Xiphioidei,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 41"
Stomatopoda,,2 Crustaceans,"Guenette (2013) Appendix A1.1, p. 41"
Stomatopoda,,3 Crustaceans,"Guenette (2013) Appendix A1.1, p. 41"
Zenarchopterus dispar,,1 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Zenarchopterus dispar,,2 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Zenarchopterus dispar,,3 S pelagics,"Guenette (2013) Appendix A1.1, p. 41"
Stromateidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Stromateidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Stromateidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Synodontidae,,1 L pisc comm,"Guenette (2013) Appendix A1.1, p. 41"
Synodontidae,,2 L pisc comm,"Guenette (2013) Appendix A1.1, p. 41"
Synodontidae,,3 L pisc comm,"Guenette (2013) Appendix A1.1, p. 41"
Tegillarca granosa,,1 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Tegillarca granosa,,2 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Tegillarca granosa,,3 Macrobenthos,"Guenette (2013) Appendix A1.1, p. 41"
Tenualosa ilisha,,2-3 Hilsa,"Guenette (2013) Appendix A1.1, p. 41"
Tenualosa toli,,2-3 Hilsa,"Guenette (2013) Appendix A1.1, p. 41"
Terapon,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Terapon,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Terapon,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Terapon jarbua,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Terapon jarbua,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Terapon jarbua,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Terapontidae,,1 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Terapontidae,,2 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Terapontidae,,3 SM pisc,"Guenette (2013) Appendix A1.1, p. 41"
Tetraodontidae,,2 Milkfish plus,"Guenette (2013) Appendix A1.1, p. 41"
Tetraodontidae,,3 Milkfish plus,"Guenette (2013) Appendix A1.1, p. 41"
Tetraodontidae,,1 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Tetraodontidae,,2 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Tetraodontidae,,3 SM inv,"Guenette (2013) Appendix A1.1, p. 41"
Tetrapturus angustirostris,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 41"
Tetrapturus audax,,Tuna-like,"Guenette (2013) Appendix A1.1, p. 41"
