taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Hemiramphidae,Omnivores,1.000000,single,medium,15352.203,0.000000,131.221463,2.010770,2.036134,66.044357,68.255823,68.187568,72.544996,72.544996,73.572832,17.500018,10.032554,73.572832,72.544996,17.500018,17.500018,10.032554,10.032554,17.704629,72.854687
Hypoptychus dybowskii,Planktivores,1.000000,single,medium,15309.497,0.000000,100.997642,1.936770,1.931490,53.479795,53.479795,53.372836,51.741399,51.741399,52.283119,17.749881,11.404035,52.283119,51.741399,17.749881,17.749881,11.404035,11.404035,17.839302,54.129601
Bramidae,Piscivores,1.000000,single,medium,15193.767,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Penaeus monodon,Shrimps,1.000000,single,high,15081.834,0.000000,20.606299,1.542427,1.561295,15.075177,15.075177,15.060102,13.927162,13.927162,14.183251,7.969433,5.681336,14.183251,13.927162,7.969433,7.969433,5.681336,5.681336,8.136905,14.885026
Acanthocybium solandri,Piscivores,1.000000,single,medium,14481.141,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Saurida undosquamis,Piscivores,1.000000,single,high,12814.471,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Beryx splendens,Piscivores,1.000000,single,medium,12628.43,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Auxis rochei,Piscivores,1.000000,single,high,12019.498,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Scorpaeniformes,Benthivores | Benthivores/piscivores,0.446421 | 0.553579,catch_composition,medium,11758.761,0.000000,105.627174,1.935647,1.950745,35.127516,35.944164,35.564732,191.216462,191.216462,194.361905,15.131318,9.058182,194.361905,191.216462,15.131318,15.131318,9.058182,9.058182,15.571657,38.761547
Epinephelus maculatus,Piscivores,1.000000,single,medium,11557.627,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
Isurus,Sharks,1.000000,single,high,10807.733,0.000000,1154.744061,2.745621,2.742397,0.000000,152.583853,0.000000,0.000000,0.000000,0.000000,205.199674,93.831501,0.000000,0.000000,205.199674,205.199674,93.831501,93.831501,205.695409,0.000000
